time(s),f1 (Hz),f2 (Hz),f3 (Hz),f4 (Hz),f5 (Hz)
4.69043,156.355,3705.89,4964.63,0.0,0.0
4.78331,115.101,0.0,0.0,0.0,0.0
4.87619,395.426,1448.31,4999.06,0.0,0.0
5.06195,176.74,1267.64,0.0,0.0,0.0
5.15483,165.264,763.436,4288.27,0.0,0.0
5.24771,364.861,861.116,0.0,0.0,0.0
5.34059,271.603,827.048,4934.18,0.0,0.0
5.80499,0.0,0.0,0.0,0.0,0.0
6.17651,203.808,2030.71,0.0,0.0,0.0
6.26939,500.425,1337.28,0.0,0.0,0.0
6.36227,764.051,895.162,3808.06,0.0,0.0
6.45515,753.478,951.166,2251.71,0.0,0.0
6.64091,422.576,2041.43,2554.03,4604.65,0.0
6.82667,427.513,758.397,2690.22,3968.88,0.0
7.01243,427.168,2228.21,0.0,0.0,0.0
7.19819,215.325,1593.58,4853.17,0.0,0.0
7.29107,320.756,0.0,0.0,0.0,0.0
8.0341,1419.36,0.0,0.0,0.0,0.0
8.12698,1403.11,2579.57,0.0,0.0,0.0
8.21986,1406.6,2385.72,3453.08,4464.91,0.0
8.31274,1417.48,4198.75,0.0,0.0,0.0
9.05578,328.311,2006.67,2639.32,4404.45,0.0
9.52018,392.402,1882.92,3901.15,0.0,0.0
9.70594,309.468,3201.1,0.0,0.0,0.0
9.79882,261.838,2038.43,4195.86,0.0,0.0
9.98458,212.055,2059.93,3131.68,4307.68,0.0
10.1703,370.682,1395.43,0.0,0.0,0.0
10.2632,325.176,1377.82,0.0,0.0,0.0
10.3561,458.318,1596.87,2792.48,4014.4,0.0
10.6347,200.885,1021.07,2173.77,4652.25,0.0
10.7276,474.409,1463.21,2805.1,3765.65,4887.14
10.9134,594.382,1895.72,4934.29,0.0,0.0
11.0063,234.915,1875.06,3072.46,4220.76,0.0
12.5852,688.493,1543.62,3948.09,0.0,0.0
12.6781,594.079,1500.4,2283.94,3906.95,0.0
12.8639,218.83,1430.91,3061.09,0.0,0.0
12.9567,107.469,3163.32,4243.19,0.0,0.0
13.3283,175.295,1603.69,3696.84,4896.69,0.0
13.6069,504.358,1742.88,2691.63,0.0,0.0
13.6998,221.387,1921.54,0.0,0.0,0.0
13.9784,561.957,1198.65,2409.9,3961.11,0.0
14.1642,166.985,0.0,0.0,0.0,0.0
14.2571,539.565,1067.58,2395.52,0.0,0.0
14.4428,211.092,2117.47,0.0,0.0,0.0
14.5357,210.196,2088.14,3464.12,4976.46,0.0
14.8143,214.031,0.0,0.0,0.0,0.0
14.9072,482.547,1322.5,2531.22,3784.01,4892.77
