time(s),f1 (Hz),f2 (Hz),f3 (Hz),f4 (Hz),f5 (Hz)
4.13315,406.198,1586.81,2634.27,4682.44,0.0
4.31891,180.785,935.973,2133.44,3282.31,0.0
4.41179,211.89,851.147,4453.42,0.0,0.0
4.50467,608.729,898.788,3789.85,4942.68,0.0
4.59755,160.615,714.531,2240.95,3261.7,0.0
5.24771,214.805,2641.28,4254.9,0.0,0.0
5.34059,580.951,1023.02,2045.26,3999.22,0.0
5.43347,609.299,1068.8,3579.88,4196.36,0.0
5.71211,254.503,638.456,2036.08,3786.99,0.0
5.80499,226.816,593.637,2339.8,3711.5,0.0
5.89787,110.941,507.74,4047.4,0.0,0.0
5.99075,371.697,4691.39,0.0,0.0,0.0
6.17651,199.716,2128.71,0.0,0.0,0.0
6.26939,510.353,1495.76,3984.84,4762.11,0.0
7.84834,344.852,1597.69,4593.94,0.0,0.0
8.0341,207.785,380.686,1956.06,2528.98,4202.93
8.4985,355.62,1447.84,0.0,0.0,0.0
8.68426,621.793,1892.98,2949.61,0.0,0.0
8.77714,243.34,517.745,1922.59,4235.96,0.0
8.9629,227.855,1968.68,2815.35,4294.19,0.0
9.33442,534.632,1580.68,0.0,0.0,0.0
9.4273,201.897,2037.41,0.0,0.0,0.0
9.61306,493.08,1019.13,4098.62,0.0,0.0
9.70594,201.902,2268.56,0.0,0.0,0.0
9.79882,345.199,1391.51,2739.98,4149.8,0.0
9.98458,558.753,1870.76,2764.38,4462.02,0.0
10.0775,188.356,3395.87,0.0,0.0,0.0
11.5635,401.936,1747.48,0.0,0.0,0.0
11.6564,548.341,1645.01,2332.72,4007.53,0.0
11.8422,366.882,2241.35,4884.23,0.0,0.0
12.0279,619.754,2029.21,2584.69,4395.62,0.0
12.2137,539.463,1778.05,2653.1,4173.08,0.0
12.5852,303.888,1753.71,4925.6,0.0,0.0
12.9567,300.717,834.621,2488.87,3904.56,0.0
13.0496,390.375,961.395,2558.59,4077.55,0.0
13.3283,246.203,1701.43,4816.67,0.0,0.0
13.4211,197.418,1810.6,2418.51,4810.76,0.0
13.6069,1088.82,0.0,0.0,0.0,0.0
13.6998,219.449,2361.31,3709.46,0.0,0.0
13.7927,399.732,1426.88,2536.65,4265.63,0.0
13.8855,423.034,1577.97,2598.48,4683.26,0.0
