time(s),Pitch (Hz)
4.69043,114.844
4.78331,108.621
4.87619,113.66
5.06195,166.415
5.15483,135.692
5.24771,148.485
5.34059,153.125
5.80499,85.2998
6.17651,115.144
6.26939,120.822
6.36227,138.245
6.45515,138.245
6.64091,114.844
6.82667,152.595
7.01243,102.558
7.19819,111.929
7.29107,110.804
8.0341,91.875
8.12698,91.4938
8.21986,87.8486
8.31274,91.4938
9.05578,166.415
9.52018,164.552
9.70594,177.823
9.79882,162.132
9.98458,111.364
10.1703,167.045
10.2632,114.844
10.3561,100.915
10.6347,100.0
10.7276,99.7738
10.9134,116.976
11.0063,120.492
12.5852,145.545
12.6781,146.026
12.8639,143.648
12.9567,106.265
13.3283,93.8298
13.6069,128.571
13.6998,115.445
13.9784,126.361
14.1642,114.545
14.2571,129.326
14.4428,221.608
14.5357,104.502
14.8143,109.975
14.9072,104.502
