time(s),Pitch (Hz)
4.87619,134.451
4.96907,132.432
5.06195,136.533
5.15483,121.488
5.24771,109.701
6.36227,132.036
6.45515,121.823
6.54803,140.446
6.64091,115.748
6.82667,130.861
7.66259,90.7407
7.75547,85.9649
8.21986,123.529
8.31274,113.953
8.40562,102.797
8.77714,128.947
8.87002,111.083
8.9629,107.824
9.05578,104.009
9.33442,118.868
9.4273,110.25
9.52018,105.251
9.61306,104.502
9.70594,101.848
11.2849,113.66
11.3778,111.083
11.4707,109.158
11.5635,104.009
11.6564,101.379
